state 0:  ["left","0"]
 	priority:41 -> actions: ["slow down"]
 	priority:1 -> actions: ["slow down","slow down"]
 	priority:1 -> actions: ["speed up","slow down","speed up","slow down","slow down","slow down","speed up","slow down","speed up","slow down","speed up","slow down"]
 	priority:1 -> actions: ["speed up","slow down","speed up","slow down","speed up","slow down","speed up","slow down","speed up","slow down","speed up","slow down","speed up","slow down","speed up","slow down","speed up","slow down"]
 	priority:1 -> actions: ["speed up","speed up","speed up","speed up","slow down","slow down","slow down","slow down","slow down"]
 	priority:1 -> actions: ["speed up","speed up","speed up","speed up","slow down","speed up","slow down","speed up"]
 	priority:1 -> actions: ["speed up","speed up","speed up","speed up","slow down","speed up"]
 	priority:1 -> actions: ["slow down","speed up","speed up","speed up","speed up","speed up","speed up","speed up","speed up","speed up","speed up","speed up","slow down"]
 	
state 1:  ["right","0"]
 	priority:240 -> actions: ["overtake"]
 	priority:1 -> actions: ["overtake","overtake"]
 	
state 2:  ["left","2"]
 	priority:78 -> actions: ["speed up"]
 	priority:63 -> actions: ["speed up","slow down","slow down"]
 	priority:48 -> actions: ["speed up","slow down"]
 	priority:24 -> actions: ["slow down","slow down","slow down"]
 	priority:20 -> actions: ["speed up","slow down","slow down","slow down","slow down"]
 	priority:19 -> actions: ["speed up","slow down","slow down","slow down"]
 	priority:3 -> actions: ["slow down"]
 	priority:1 -> actions: ["slow down","slow down","slow down","slow down","slow down"]
 	
state 3:  ["left","1"]
 	priority:161 -> actions: ["slow down"]
 	priority:71 -> actions: ["speed up"]
 	priority:8 -> actions: ["slow down","slow down","slow down"]
 	priority:6 -> actions: ["speed up","slow down"]
 	priority:4 -> actions: ["slow down","speed up"]
 	priority:3 -> actions: ["slow down","slow down","slow down","slow down"]
 	priority:2 -> actions: ["slow down","slow down"]
 	priority:1 -> actions: ["slow down","straight"]
 	priority:1 -> actions: ["slow down","slow down","slow down","slow down","slow down"]
 	priority:1 -> actions: ["speed up","straight"]
 	
state 4:  ["right","1"]
 	priority:184 -> actions: ["overtake","overtake"]
 	priority:51 -> actions: ["overtake"]
 	
state 5:  ["right","2"]
 	priority:1 -> actions: ["overtake"]
 	
